start_date	fips	start_deaths	end_date	end_deaths	deaths	preventable_est
2021-04-15	04023	174.0	2022-09-25	238.0	64	42
2021-04-15	04025	494.0	2022-09-25	1284.0	790	522
2021-04-15	04027	825.0	2022-09-25	1205.0	380	251
2021-04-15	05001	36.0	2022-09-25	83.0	47	31
2021-04-15	05003	33.0	2022-09-25	77.0	44	29
2021-04-15	05005	102.0	2022-09-25	269.0	167	110
2021-04-15	05007	411.0	2022-09-25	903.0	492	325
2021-04-15	05009	79.0	2022-09-25	190.0	111	73
2021-04-15	05011	32.0	2022-09-25	55.0	23	15
2021-04-15	05013	3.0	2022-09-25	11.0	8	5
2021-04-15	05015	44.0	2022-09-25	116.0	72	48
2021-04-15	05017	40.0	2022-09-25	59.0	19	13
2021-04-15	05019	40.0	2022-09-25	86.0	46	30
2021-04-15	05021	50.0	2022-09-25	97.0	47	31
2021-04-15	05023	73.0	2022-09-25	135.0	62	41
2021-04-15	05025	25.0	2022-09-25	40.0	15	10
2021-04-15	05027	55.0	2022-09-25	100.0	45	30
2021-04-15	05029	32.0	2022-09-25	70.0	38	25
2021-04-15	05031	178.0	2022-09-25	355.0	177	117
2021-04-15	05033	118.0	2022-09-25	260.0	142	94
2021-04-15	05035	96.0	2022-09-25	235.0	139	92
2021-04-15	05037	49.0	2022-09-25	89.0	40	26
2021-04-15	05039	15.0	2022-09-25	35.0	20	13
2021-04-15	05041	24.0	2022-09-25	42.0	18	12
2021-04-15	05043	42.0	2022-09-25	73.0	31	20
2021-04-15	05045	158.0	2022-09-25	333.0	175	116
2021-04-15	05047	39.0	2022-09-25	74.0	35	23
2021-04-15	05049	47.0	2022-09-25	96.0	49	32
2021-04-15	05051	255.0	2022-09-25	532.0	277	183
2021-04-15	05053	32.0	2022-09-25	63.0	31	20
2021-04-15	05055	75.0	2022-09-25	185.0	110	73
2021-04-15	05057	20.0	2022-09-25	75.0	55	36
2021-04-15	05059	72.0	2022-09-25	151.0	79	52
2021-04-15	05061	24.0	2022-09-25	55.0	31	20
2021-04-15	05063	122.0	2022-09-25	217.0	95	63
2021-04-15	05065	41.0	2022-09-25	76.0	35	23
2021-04-15	05067	38.0	2022-09-25	68.0	30	20
2021-04-15	05069	164.0	2022-09-25	298.0	134	89
2021-04-15	05071	37.0	2022-09-25	92.0	55	36
2021-04-15	05073	9.0	2022-09-25	30.0	21	14
2021-04-15	05075	43.0	2022-09-25	85.0	42	28
2021-04-15	05077	34.0	2022-09-25	63.0	29	19
2021-04-15	05079	48.0	2022-09-25	69.0	21	14
2021-04-15	05081	41.0	2022-09-25	106.0	65	43
2021-04-15	05083	22.0	2022-09-25	81.0	59	39
2021-04-15	05085	118.0	2022-09-25	259.0	141	93
2021-04-15	05087	22.0	2022-09-25	65.0	43	28
2021-04-15	05089	30.0	2022-09-25	92.0	62	41
2021-04-15	05091	36.0	2022-09-25	189.0	153	101
2021-04-15	05093	107.0	2022-09-25	221.0	114	75
2021-04-15	05095	17.0	2022-09-25	37.0	20	13
2021-04-15	05097	33.0	2022-09-25	59.0	26	17
2021-04-15	05099	24.0	2022-09-25	45.0	21	14
2021-04-15	05101	26.0	2022-09-25	50.0	24	16
2021-04-15	05103	61.0	2022-09-25	114.0	53	35
2021-04-15	05105	10.0	2022-09-25	39.0	29	19
2021-04-15	05107	38.0	2022-09-25	101.0	63	42
2021-04-15	05109	22.0	2022-09-25	46.0	24	16
2021-04-15	05111	77.0	2022-09-25	134.0	57	38
2021-04-15	05113	71.0	2022-09-25	153.0	82	54
2021-04-15	05115	106.0	2022-09-25	217.0	111	73
2021-04-15	05117	20.0	2022-09-25	42.0	22	15
2021-04-15	05119	639.0	2022-09-25	1251.0	612	405
2021-04-15	05121	47.0	2022-09-25	98.0	51	34
2021-04-15	05123	41.0	2022-09-25	100.0	59	39
2021-04-15	05125	166.0	2022-09-25	360.0	194	128
2021-04-15	05127	14.0	2022-09-25	45.0	31	20
2021-04-15	05129	17.0	2022-09-25	50.0	33	22
2021-04-15	05131	274.0	2022-09-25	552.0	278	184
2021-04-15	05133	24.0	2022-09-25	78.0	54	36
2021-04-15	05135	45.0	2022-09-25	115.0	70	46
2021-04-15	05137	30.0	2022-09-25	70.0	40	26
2021-04-15	05139	112.0	2022-09-25	190.0	78	52
2021-04-15	05141	22.0	2022-09-25	64.0	42	28
2021-04-15	05143	345.0	2022-09-25	659.0	314	208
2021-04-15	05145	118.0	2022-09-25	316.0	198	131
2021-04-15	05147	12.0	2022-09-25	31.0	19	13
2021-04-15	05149	64.0	2022-09-25	109.0	45	30
2021-04-15	06001	1475.0	2022-09-25	2024.0	549	363
2021-04-15	06003	0.0	2022-09-25	0.0	0	0
2021-04-15	06005	46.0	2022-09-25	90.0	44	29
2021-04-15	06007	196.0	2022-09-25	453.0	257	170
2021-04-15	06009	51.0	2022-09-25	133.0	82	54
2021-04-15	06011	16.0	2022-09-25	22.0	6	4
2021-04-15	06013	781.0	2022-09-25	1424.0	643	425
2021-04-15	06015	7.0	2022-09-25	57.0	50	33
2021-04-15	06017	108.0	2022-09-25	231.0	123	81
2021-04-15	06019	1640.0	2022-09-25	2850.0	1210	800
2021-04-15	06021	25.0	2022-09-25	48.0	23	15
2021-04-15	06023	37.0	2022-09-25	157.0	120	79
2021-04-15	06025	717.0	2022-09-25	957.0	240	159
2021-04-15	06027	36.0	2022-09-25	59.0	23	15
2021-04-15	06029	1311.0	2022-09-25	2540.0	1229	812
2021-04-15	06031	245.0	2022-09-25	456.0	211	139
2021-04-15	06033	43.0	2022-09-25	146.0	103	68
2021-04-15	06035	24.0	2022-09-25	69.0	45	30
2021-04-15	06037	23579.0	2022-09-25	33532.0	9953	6580
2021-04-15	06039	239.0	2022-09-25	374.0	135	89
2021-04-15	06041	226.0	2022-09-25	310.0	84	56
2021-04-15	06043	7.0	2022-09-25	38.0	31	20
2021-04-15	06045	47.0	2022-09-25	136.0	89	59
2021-04-15	06047	452.0	2022-09-25	862.0	410	271
2021-04-15	06049	4.0	2022-09-25	11.0	7	5
2021-04-15	06051	4.0	2022-09-25	7.0	3	2
2021-04-15	06053	348.0	2022-09-25	783.0	435	288
2021-04-15	06055	79.0	2022-09-25	160.0	81	54
2021-04-15	06057	75.0	2022-09-25	132.0	57	38
2021-04-15	06059	4869.0	2022-09-25	7432.0	2563	1694
2021-04-15	06061	282.0	2022-09-25	660.0	378	250
2021-04-15	06063	4.0	2022-09-25	13.0	9	6
2021-04-15	06065	4519.0	2022-09-25	6673.0	2154	1424
2021-04-15	06067	1645.0	2022-09-25	3444.0	1799	1189
2021-04-15	06069	63.0	2022-09-25	106.0	43	28
2021-04-15	06071	4523.0	2022-09-25	8097.0	3574	2363
2021-04-15	06073	3653.0	2022-09-25	5487.0	1834	1212
2021-04-15	06075	513.0	2022-09-25	1031.0	518	342
2021-04-15	06077	1334.0	2022-09-25	2306.0	972	643
2021-04-15	06079	256.0	2022-09-25	522.0	266	176
2021-04-15	06081	556.0	2022-09-25	830.0	274	181
2021-04-15	06083	445.0	2022-09-25	720.0	275	182
2021-04-15	06085	2009.0	2022-09-25	2486.0	477	315
2021-04-15	06087	203.0	2022-09-25	274.0	71	47
2021-04-15	06089	216.0	2022-09-25	687.0	471	311
2021-04-15	06091	0.0	2022-09-25	5.0	5	3
2021-04-15	06093	21.0	2022-09-25	107.0	86	57
2021-04-15	06095	239.0	2022-09-25	463.0	224	148
2021-04-15	06097	311.0	2022-09-25	519.0	208	138
2021-04-15	06099	1026.0	2022-09-25	1752.0	726	480
2021-04-15	06101	106.0	2022-09-25	235.0	129	85
2021-04-15	06103	52.0	2022-09-25	210.0	158	104
2021-04-15	06105	3.0	2022-09-25	20.0	17	11
2021-04-15	06107	827.0	2022-09-25	1530.0	703	465
2021-04-15	06109	64.0	2022-09-25	196.0	132	87
2021-04-15	06111	997.0	2022-09-25	1566.0	569	376
2021-04-15	06113	199.0	2022-09-25	335.0	136	90
2021-04-15	06115	44.0	2022-09-25	129.0	85	56
2021-04-15	08001	685.0	2022-09-25	1455.0	770	509
2021-04-15	08003	30.0	2022-09-25	63.0	33	22
2021-04-15	08005	755.0	2022-09-25	1374.0	619	409
2021-04-15	08007	1.0	2022-09-25	17.0	16	11
2021-04-15	08009	4.0	2022-09-25	15.0	11	7
2021-04-15	08011	21.0	2022-09-25	49.0	28	19
2021-04-15	08013	250.0	2022-09-25	399.0	149	99
2021-04-15	08014	75.0	2022-09-25	123.0	48	32
2021-04-15	08015	24.0	2022-09-25	56.0	32	21
2021-04-15	08017	6.0	2022-09-25	11.0	5	3
2021-04-15	08019	3.0	2022-09-25	13.0	10	7
2021-04-15	08021	10.0	2022-09-25	57.0	47	31
2021-04-15	08023	2.0	2022-09-25	19.0	17	11
2021-04-15	08025	14.0	2022-09-25	31.0	17	11
2021-04-15	08027	1.0	2022-09-25	22.0	21	14
2021-04-15	08029	61.0	2022-09-25	147.0	86	57
2021-04-15	08031	792.0	2022-09-25	1434.0	642	424
2021-04-15	08033	0.0	2022-09-25	9.0	9	6
2021-04-15	08035	250.0	2022-09-25	502.0	252	167
2021-04-15	08037	22.0	2022-09-25	37.0	15	10
2021-04-15	08039	12.0	2022-09-25	44.0	32	21
2021-04-15	08041	771.0	2022-09-25	1792.0	1021	675
