country	gh_latest_case	gh_cases	gh_hospital_yes	gh_icu_yes	gh_outcome_admit	gh_outcome_icu	gh_outcome_death	who_Date_reported	who_Cumulative_cases	who_Cumulative_deaths	gh_v_who_cases	gh_v_who_deaths	gh_mortality	gh_data_age
JP	2021-03-29	346345	0	0	0	0	377	2023-03-29	33421785	73747	1.0	1.0	0.1	732
GB	2022-03-29	3453247	0	0	0	0	3996	2023-03-29	24286411	210396	14.0	2.0	0.1	367
SG	2020-03-10	328	0	0	0	0	0	2023-03-29	2255812	1722	0.0	0.0	0.0	1116
PK	2020-03-05	12	0	0	0	0	0	2023-03-29	1579245	30649	0.0	0.0	0.0	1121
RU	2020-05-09	198301	0	0	0	0	0	2023-03-29	22603646	397146	1.0	0.0	0.0	1056
GT	2020-04-06	34	0	0	0	0	0	2023-03-29	1243484	20184	0.0	0.0	0.0	1089
KW	2020-03-07	84	0	0	0	0	0	2023-03-29	665122	2570	0.0	0.0	0.0	1119
LT	2020-02-28	1	0	0	0	0	0	2023-03-29	1313445	9631	0.0	0.0	0.0	1127
MG	2020-03-27	17	0	0	0	0	0	2023-03-29	68049	1424	0.0	0.0	0.0	1099
BH	2020-03-07	68	0	0	0	0	0	2023-03-29	696614	1536	0.0	0.0	0.0	1119
CL	2020-03-31	1503	0	0	0	0	0	2023-03-29	5255620	64497	0.0	0.0	0.0	1095
AD	2020-03-02	1	0	0	0	0	0	2023-03-29	47917	159	0.0	0.0	0.0	1124
TR	2020-05-27	159779	0	0	0	0	0	2023-03-29	17004677	101419	1.0	0.0	0.0	1038
UA	2020-06-14	31135	0	0	0	0	0	2023-03-29	5445979	111558	1.0	0.0	0.0	1020
TD	2020-03-26	5	0	0	0	0	0	2023-03-29	7688	194	0.0	0.0	0.0	1100
CZ	2022-03-28	3799151	0	0	0	0	0	2023-03-29	4631804	42635	82.0	0.0	0.0	368
AE	2020-02-27	40	0	0	0	0	0	2023-03-29	1056485	2349	0.0	0.0	0.0	1128
CM	2020-03-27	84	0	0	0	0	0	2023-03-29	124741	1968	0.0	0.0	0.0	1099
AR	2022-02-13	8726835	228792	48062	24	0	124088	2023-03-29	10044957	130472	87.0	95.0	1.4	411
LB	2020-03-02	12	0	0	0	0	0	2023-03-29	1234352	10863	0.0	0.0	0.0	1124
LU	2020-03-06	3	0	0	0	0	0	2023-03-29	319599	1230	0.0	0.0	0.0	1120
MD	2020-06-15	11067	0	0	0	0	0	2023-03-29	617750	12069	2.0	0.0	0.0	1019
CO	2023-03-13	6089762	43891	9455	0	0	146142	2023-03-29	6361810	142665	96.0	102.0	2.4	18
VN	2020-03-07	32	0	0	0	0	0	2023-03-29	11527210	43186	0.0	0.0	0.0	1119
ZM	2020-03-27	22	0	0	0	0	0	2023-03-29	343415	4057	0.0	0.0	0.0	1099
TG	2020-03-27	14	0	0	0	0	0	2023-03-29	39443	290	0.0	0.0	0.0	1099
AF	2020-03-07	8	0	0	0	0	0	2023-03-29	210181	7882	0.0	0.0	0.0	1119
BJ	2020-03-22	5	0	0	0	0	0	2023-03-29	27999	163	0.0	0.0	0.0	1104
CN	2022-02-04	6	0	0	0	0	0	2023-03-29	99238143	120894	0.0	0.0	0.0	420
ME	2020-05-05	322	0	0	0	0	0	2023-03-29	289292	2808	0.0	0.0	0.0	1060
MR	2020-03-26	3	0	0	0	0	0	2023-03-29	63465	997	0.0	0.0	0.0	1100
OM	2020-03-04	30	0	0	0	0	0	2023-03-29	399449	4628	0.0	0.0	0.0	1122
MA	2020-03-04	4	0	0	0	0	0	2023-03-29	1272622	16296	0.0	0.0	0.0	1122
NZ	2022-10-23	1811562	0	0	0	0	0	2023-03-29	2206394	2662	82.0	0.0	0.0	159
LR	2020-03-20	3	0	0	0	0	0	2023-03-29	8090	294	0.0	0.0	0.0	1106
MV	2020-03-07	4	0	0	0	0	0	2023-03-29	185771	311	0.0	0.0	0.0	1119
BY	2020-05-27	38884	0	0	0	0	0	2023-03-29	994037	7118	4.0	0.0	0.0	1038
AU	2020-03-15	542	0	0	0	0	2	2023-03-29	11077631	19511	0.0	0.0	0.4	1111
UG	2020-03-27	18	0	0	0	0	0	2023-03-29	170491	3632	0.0	0.0	0.0	1099
AT	2020-05-25	23983	0	0	0	0	0	2023-03-29	6024875	22082	0.0	0.0	0.0	1040
NL	2020-03-24	4150	0	0	0	0	0	2023-03-29	8608123	22992	0.0	0.0	0.0	1102
MU	2020-03-27	89	0	0	0	0	0	2023-03-29	297262	1044	0.0	0.0	0.0	1099
CI	2020-03-27	101	0	0	0	0	0	2023-03-29	88299	834	0.0	0.0	0.0	1099
US	2022-01-09	44402270	1411386	83193	0	0	668644	2023-03-29	102697566	1117054	43.0	60.0	1.5	446
TW	2022-02-10	19426	0	0	0	0	0		0	0	inf		0.0	414
VI	2020-03-14	2	0	0	0	0	0	2023-03-29	24863	130	0.0	0.0	0.0	1112
CH	2022-03-14	555349	0	0	0	0	0	2023-03-29	4396055	13965	13.0	0.0	0.0	382
MT	2020-03-07	1	0	0	0	0	0	2023-03-29	118004	832	0.0	0.0	0.0	1119
NO	2020-03-24	658	0	0	0	0	0	2023-03-29	1480654	5288	0.0	0.0	0.0	1102
